        # num denom aH bH cH sH aMH bMH cMH sMH aPL bPL sPL aE bE sE aL bL sL bestS function min max
l0821 l0773        0.2000       0.2000       0.2000     242.9604    4647.7383       0.7111       0.0664      59.3596    3300.2971       0.3593      63.2657    2444.0332       1.3495      75.2200    3302.0349    1258.5100      60.9088      59.3596  MH         0.91         1.70
l0821 l0798     5435.3003       0.7102       0.5079      60.9035    4650.0151       0.8295      -0.0090      60.3916    3898.2214       0.2681      70.3920    2710.0017       1.4485      99.4549    3889.4792     949.8899      65.7993      60.3916  MH         0.50         1.20
l0821 l0846     2273.5344       1.7643      -0.1090      71.9649    3235.7795       1.2295       0.5885      70.6755    3894.8787       0.2572      73.4084    2666.1741       1.4921      69.9604    3874.4490     884.4870      76.1454      69.9604  EX         0.41         0.97
l0846 l0821        0.2000       0.2000       0.2000     242.9410       0.2000       0.2000       0.2000     242.9731    3894.9954      -0.2573      73.4012    4473.5381       0.8547      86.5723    3874.4927    -884.5986      76.1420      73.4012  PL         1.03         2.46
l0847 l0821        0.2000       0.2000       0.2000     242.9371    4498.2231       0.8372      -0.3554      76.6199    3769.4351      -0.2234      90.4279    4394.7969       0.8549      74.0719    3768.2466    -785.5740      84.6345      74.0719  EX         0.69         2.17
l0948 l0992        0.2000       0.2000       0.2000     242.9423    1355.1772       3.2367       0.4292      74.7020    3938.7690      -0.2307      74.4941       1.5000       0.0000     242.9507    3909.7117    -787.1306      77.6135      74.4941  PL         1.17         2.70
l0960 l0992        0.2000       0.2000       0.2000     242.9418    2881.5342       1.4473       0.0095      62.3122    3952.2756      -0.1607      68.8567       1.5000       0.0000     242.9507    3926.8145    -554.9592      71.7794      62.3122  MH         1.20         3.77
l0961 l0992     3057.9604       1.1009      -0.2293      74.1823       0.2000       0.2000       0.2000     242.9734    3389.8022      -0.1466      72.5282    4050.1926       0.8475      89.9532    3395.8943    -509.2333      73.7940      72.5282  PL         0.39         1.66
l0974 l0992        0.2000       0.2000       0.2000     242.9379    4002.5144       0.9617      -0.1434      69.3742    3866.7585      -0.1252      72.6601    3974.8914       0.9509      72.8964    3854.7966    -436.5276      69.8743      69.3742  MH         0.76         4.31
l0992 l0948     1359.0662       3.2265      -0.4275      74.6050    2935.3545       1.4493       0.9138      74.8160    3938.9368       0.2307      74.4636    2705.8440       1.5140      65.5336    3909.6790     787.1310      77.6134      65.5336  EX         0.37         0.85
l0992 l0960     2879.0918       1.4486      -0.0100      62.3628       0.2000       0.2000       0.2000     242.9426    3952.3103       0.1607      68.8524    2932.3562       1.4182      61.9680    3926.8005     554.9431      71.7820      61.9680  EX         0.27         0.83
l0992 l0961     3172.2839       1.0629       0.0690      74.0691    3057.0798       1.1012       0.2295      74.2049    3389.7881       0.1466      72.5214    2995.9863       1.1207      82.8667    3395.8918     509.2025      73.7965      72.5214  PL         0.60         2.56
l0992 l0974     4004.5713       0.9611       0.1437      69.3474       0.2000       0.2000       0.2000     242.9378    3866.8074       0.1252      72.6598    3076.9275       1.2848     131.2076    3854.8518     436.5903      69.8713      69.3474  HO         0.23         1.32
l0992 l1010     2158.8464       1.9590      -0.1656      74.4584       0.2000       0.2000       0.2000     242.9422    3914.0596       0.1754      84.3087    2879.0496       1.4161      75.0569    3891.8462     604.0445      86.5599      74.4584  HO         0.31         0.82
l0992 l1030     3624.7422       1.0237       0.1053      60.4535    3660.7949       1.0141       0.1458      60.9505    3712.0881       0.1202      57.8886    3080.2927       1.1979     108.3399    3711.7461     417.3062      57.3717      57.3717  LO         0.30         1.76
l1010 l0992     3577.2671       1.1383      -0.4447      77.2850    2143.2627       1.9751       0.1698      74.5394    3914.1216      -0.1754      84.2973       1.5000       0.0000     242.9507    3891.9211    -604.1523      86.5479      74.5394  MH         1.22         3.28
l1030 l0992     3660.1943       1.0142      -0.1461      60.9960    3624.2422       1.0239      -0.1052      60.4761    3712.0972      -0.1202      57.8878    3944.9248       0.9386      77.0035    3711.7876    -417.3789      57.3610      57.3610  LO         0.57         3.36
l1121 l1145     4522.9790       0.6916      -0.0104      76.8517    3823.8645       0.8158      -0.5790      69.6842    3184.7673      -0.2485     104.6238    4598.1602       0.6795      76.2261    3167.1741    -896.8158      96.8499      69.6842  MH         0.35         1.01
l1141 l1167     5122.9219       0.6362       0.9185      54.0844    6449.0107       0.5057      -0.2050      54.6111    3272.1562       0.3469      67.4825    2510.7129       1.3080      83.9664    3268.2925    1234.3049      62.8586      54.0844  HO         0.90         1.71
l1145 l1121        0.2000       0.2000       0.2000     242.9611    5451.1299       0.5689      -0.1178      68.8084    3184.8589       0.2484     104.5913    2813.2405       1.1547     140.9342    3167.1067     897.0347      96.8724      68.8084  MH         0.99         2.89
l1155 l1167        0.2000       0.2000       0.2000     242.9616    5203.4365       0.5961      -0.0946      66.0065    3181.2161       0.2378     108.8084    2857.2656       1.1390     158.2606    3163.6711     856.8708      99.0771      66.0065  MH         1.04         3.33
