                        # n, d, f, numerator, denominator, feature, p0, p1, p2, sigma_fit, Rap, minr, maxr, minew, maxew
 927  919  939       6773.49      6764.44      6785.38  -4.04006E-02  6.76042E-01  5.93883E-01        0.0997       0.2931       0.4375       0.8159      20.7600      37.4500
 927  921  940       6773.49      6765.84      6785.77  -4.46632E-02  4.65467E-01  8.58513E-01        0.0876       0.4538       0.7750       1.7838      27.2500      43.9700
 927  926  940       6773.49      6773.22      6785.77  -3.85856E-02  2.55322E-01  8.26310E-01        0.0972       0.3252       0.8294       2.2066      27.2500      43.9700
 927  929  940       6773.49      6776.08      6785.77  -4.01696E-02  3.74391E-01  9.25707E-01        0.0937       0.3723       0.4803       1.7071      27.2500      43.9700
 927  930  940       6773.49      6777.25      6785.77  -4.02335E-02  3.57484E-01  8.86215E-01        0.0911       0.4070       0.5591       1.6049      27.2500      43.9700
 927  932  940       6773.49      6777.83      6785.77  -4.01761E-02  9.41445E-01  6.41535E-01        0.0970       0.3275       0.4198       0.7711      27.2500      43.9700
 927  933  940       6773.49      6779.04      6785.77  -3.97664E-02  4.26989E-01  7.91850E-01        0.0985       0.3061       0.7113       1.3956      27.2500      43.9700
 927  936  940       6773.49      6783.41      6785.77  -4.09340E-02  7.71719E-01  7.71089E-01        0.0900       0.4225       0.3946       0.9420      27.2500      43.9700
 927  937  940       6773.49      6783.74      6785.77  -4.18973E-02  4.88203E-01  8.48386E-01        0.0885       0.4417       0.5341       1.5152      27.2500      43.9700
 927  938  940       6773.49      6784.13      6785.77  -3.97287E-02  5.88508E-01  8.33499E-01        0.0980       0.3142       0.3680       1.0848      27.2500      43.9700
 927  939  940       6773.49      6785.38      6785.77  -3.74636E-02  2.18225E-01  7.34565E-01        0.0759       0.5898       1.1449       3.0272      27.2500      43.9700
 927  940  939       6773.49      6785.77      6785.38  -3.55969E-02  2.07883E-01  5.57577E-01        0.0924       0.3920       0.9361       2.0984      20.7600      37.4500
 927  941  940       6773.49      6786.50      6785.77  -3.81101E-02  2.04720E-01  8.76841E-01        0.0942       0.3653       0.8167       2.3635      27.2500      43.9700
 928  915  940       6775.32      6760.64      6785.77  -3.35504E-02  4.10638E-01  5.51314E-01        0.0976       0.3228       0.8099       1.6296      27.2500      43.9700
 928  918  939       6775.32      6764.08      6785.38  -3.58160E-02  5.04670E-01  5.92736E-01        0.0983       0.3126       0.3716       0.8249      20.7600      37.4500
 928  918  940       6775.32      6764.08      6785.77  -3.87020E-02  7.91657E-01  7.31260E-01        0.0899       0.4235       0.3716       0.8249      27.2500      43.9700
 928  919  939       6775.32      6764.44      6785.38  -3.81141E-02  7.95370E-01  4.42863E-01        0.0967       0.3347       0.4702       0.7873      20.7600      37.4500
 928  919  940       6775.32      6764.44      6785.77  -3.83318E-02  9.96486E-01  5.44720E-01        0.0966       0.3367       0.4702       0.7873      27.2500      43.9700
 928  921  940       6775.32      6765.84      6785.77  -4.17886E-02  3.94393E-01  8.29187E-01        0.0878       0.4515       0.8633       2.0837      27.2500      43.9700
 928  926  940       6775.32      6773.22      6785.77  -3.72771E-02  2.54349E-01  7.72790E-01        0.0937       0.3731       0.9271       2.2005      27.2500      43.9700
 928  929  940       6775.32      6776.08      6785.77  -3.93667E-02  3.80944E-01  8.83421E-01        0.0890       0.4350       0.5546       1.6191      27.2500      43.9700
 928  930  940       6775.32      6777.25      6785.77  -3.86937E-02  3.33583E-01  8.47880E-01        0.0893       0.4316       0.6427       1.6940      27.2500      43.9700
 928  932  940       6775.32      6777.83      6785.77  -3.80515E-02  1.04260E+00  4.86385E-01        0.0917       0.4004       0.4847       0.8333      27.2500      43.9700
 928  933  940       6775.32      6779.04      6785.77  -3.84546E-02  4.69739E-01  6.90259E-01        0.0926       0.3890       0.7884       1.4647      27.2500      43.9700
 928  934  939       6775.32      6779.36      6785.38  -3.93785E-02 -5.34254E-01  1.48922E+00        0.0981       0.3145       0.7332       1.2223      20.7600      37.4500
 928  935  939       6775.32      6780.23      6785.38  -3.81397E-02  5.59212E-01  4.96323E-01        0.0970       0.3310       0.5780       0.9987      20.7600      37.4500
 928  936  940       6775.32      6783.41      6785.77  -3.90150E-02  7.16119E-01  7.28261E-01        0.0876       0.4532       0.4556       1.1004      27.2500      43.9700
 928  937  940       6775.32      6783.74      6785.77  -3.98725E-02  4.21958E-01  8.28981E-01        0.0880       0.4486       0.6166       1.7700      27.2500      43.9700
 928  938  940       6775.32      6784.13      6785.77  -3.87321E-02  6.36555E-01  7.55570E-01        0.0911       0.4096       0.4249       1.0688      27.2500      43.9700
 928  939  918       6775.32      6785.38      6764.08  -1.47179E-02  2.22636E-01  8.09736E-01        0.1000       0.2872       1.2229       3.5362      74.3100     114.7500
 928  939  940       6775.32      6785.38      6785.77  -3.58358E-02  1.89981E-01  7.21903E-01        0.0773       0.5748       1.2229       3.5362      27.2500      43.9700
 928  940  939       6775.32      6785.77      6785.38  -3.34512E-02  2.00324E-01  5.00681E-01        0.0932       0.3828       0.9649       2.2660      20.7600      37.4500
 928  941  940       6775.32      6786.50      6785.77  -3.68902E-02  1.91299E-01  8.46364E-01        0.0927       0.3865       0.9234       2.6362      27.2500      43.9700
 928  944  940       6775.32      6790.05      6785.77  -3.84616E-02  2.29990E-01  8.18414E-01        0.0874       0.4542       0.8963       2.5610      27.2500      43.9700
 929  916  940       6776.08      6762.71      6785.77  -4.07798E-02 -5.50958E-01  1.79579E+00        0.0840       0.4972       0.5237       1.2559      27.2500      43.9700
 929  917  940       6776.08      6763.12      6785.77  -4.13381E-02 -3.68356E-01  1.68563E+00        0.0802       0.5393       0.6833       1.9415      27.2500      43.9700
 929  919  940       6776.08      6764.44      6785.77  -3.89493E-02 -6.61682E-01  1.70139E+00        0.0973       0.3217       0.4780       1.0084      27.2500      43.9700
 929  920  940       6776.08      6765.52      6785.77  -4.08814E-02 -5.10693E-01  1.70431E+00        0.0888       0.4379       0.4686       1.2776      27.2500      43.9700
 929  922  939       6776.08      6766.10      6785.38  -3.65203E-02 -1.57230E-01  1.10600E+00        0.0970       0.3304       0.5710       2.4740      20.7600      37.4500
 929  922  940       6776.08      6766.10      6785.77  -3.98652E-02 -2.50732E-01  1.55003E+00        0.0859       0.4750       0.5710       2.4740      27.2500      43.9700
 929  923  940       6776.08      6770.51      6785.77  -4.06412E-02 -3.01357E-01  1.55265E+00        0.0893       0.4313       0.4623       1.8955      27.2500      43.9700
 929  924  940       6776.08      6771.04      6785.77  -3.20162E-02 -3.28127E-01  1.31828E+00        0.0979       0.3160       0.5028       1.5190      27.2500      43.9700
 929  925  940       6776.08      6771.81      6785.77  -4.32384E-02 -2.37200E-01  1.69474E+00        0.0863       0.4668       0.8634       2.5900      27.2500      43.9700
 929  927  940       6776.08      6773.49      6785.77  -4.15194E-02 -2.84877E-01  1.64302E+00        0.0899       0.4233       0.5858       2.0820      27.2500      43.9700
 929  928  940       6776.08      6775.32      6785.77  -4.01252E-02 -3.25481E-01  1.63523E+00        0.0868       0.4633       0.6176       1.8032      27.2500      43.9700
 929  931  940       6776.08      6777.54      6785.77  -4.17695E-02 -1.88213E-01  1.57301E+00        0.0977       0.3211       0.5621       2.6367      27.2500      43.9700
 929  932  940       6776.08      6777.83      6785.77  -3.94821E-02 -7.21038E-01  1.77852E+00        0.0987       0.3049       0.4469       0.9636      27.2500      43.9700
 929  933  940       6776.08      6779.04      6785.77  -3.90745E-02 -5.79328E-01  1.91931E+00        0.0975       0.3219       0.8175       1.4832      27.2500      43.9700
 929  934  939       6776.08      6779.36      6785.38  -3.70111E-02 -1.60328E-01  1.10652E+00        0.0971       0.3295       0.5185       2.2041      20.7600      37.4500
 929  934  940       6776.08      6779.36      6785.77  -3.95188E-02 -2.37131E-01  1.49610E+00        0.0889       0.4375       0.5185       2.2041      27.2500      43.9700
 929  942  940       6776.08      6787.29      6785.77  -4.29833E-02 -2.58366E-01  1.75871E+00        0.0915       0.4032       0.9659       2.3738      27.2500      43.9700
 929  943  940       6776.08      6788.76      6785.77  -4.15217E-02 -4.82018E-01  1.68771E+00        0.0848       0.4863       0.4272       1.2819      27.2500      43.9700
 929  945  940       6776.08      6790.93      6785.77  -4.05891E-02 -3.69608E-01  1.73481E+00        0.0875       0.4541       0.7397       1.7697      27.2500      43.9700
 930  916  940       6777.25      6762.71      6785.77  -3.96196E-02 -6.32495E-01  1.73950E+00        0.0865       0.4672       0.5491       1.2013      27.2500      43.9700
 930  917  940       6777.25      6763.12      6785.77  -4.06459E-02 -4.45500E-01  1.67024E+00        0.0804       0.5369       0.6239       1.5665      27.2500      43.9700
 930  919  940       6777.25      6764.44      6785.77  -3.83781E-02 -9.20007E-01  1.76777E+00        0.0940       0.3667       0.4423       0.8128      27.2500      43.9700
 930  920  939       6777.25      6765.52      6785.38  -3.73257E-02 -3.91924E-01  1.21219E+00        0.0975       0.3237       0.4729       1.0975      20.7600      37.4500
 930  920  940       6777.25      6765.52      6785.77  -3.99545E-02 -5.86923E-01  1.65941E+00        0.0900       0.4227       0.4729       1.0975      27.2500      43.9700
 930  922  939       6777.25      6766.10      6785.38  -3.67890E-02 -1.94472E-01  1.12223E+00        0.0955       0.3516       0.6046       2.1252      20.7600      37.4500
 930  922  940       6777.25      6766.10      6785.77  -3.90716E-02 -2.77129E-01  1.50214E+00        0.0884       0.4431       0.6046       2.1252      27.2500      43.9700
 930  923  940       6777.25      6770.51      6785.77  -4.00704E-02 -3.50008E-01  1.52739E+00        0.0899       0.4234       0.4587       1.6283      27.2500      43.9700
 930  924  939       6777.25      6771.04      6785.38  -3.23683E-02 -3.27958E-01  1.08532E+00        0.0988       0.3051       0.5348       1.3230      20.7600      37.4500
 930  924  940       6777.25      6771.04      6785.77  -3.09437E-02 -4.38769E-01  1.32635E+00        0.0957       0.3465       0.5348       1.3230      27.2500      43.9700
 930  925  940       6777.25      6771.81      6785.77  -4.23210E-02 -2.72672E-01  1.65336E+00        0.0886       0.4383       0.7896       2.2050      27.2500      43.9700
 930  927  940       6777.25      6773.49      6785.77  -4.05948E-02 -3.28809E-01  1.60239E+00        0.0908       0.4119       0.6231       1.7884      27.2500      43.9700
 930  928  940       6777.25      6775.32      6785.77  -3.93420E-02 -3.78049E-01  1.60079E+00        0.0884       0.4433       0.5903       1.5558      27.2500      43.9700
 930  931  940       6777.25      6777.54      6785.77  -4.12492E-02 -2.21267E-01  1.55285E+00        0.0976       0.3218       0.5978       2.2650      27.2500      43.9700
 930  932  940       6777.25      6777.83      6785.77  -3.88896E-02 -1.01420E+00  1.86179E+00        0.0943       0.3656       0.4754       0.7749      27.2500      43.9700
 930  933  939       6777.25      6779.04      6785.38  -3.61002E-02 -6.24079E-01  1.54235E+00        0.0995       0.2957       0.8267       1.2721      20.7600      37.4500
 930  933  940       6777.25      6779.04      6785.77  -3.87687E-02 -9.63345E-01  2.19463E+00        0.0895       0.4294       0.8267       1.2721      27.2500      43.9700
 930  934  939       6777.25      6779.36      6785.38  -3.73674E-02 -1.90275E-01  1.11697E+00        0.0962       0.3418       0.4950       1.8934      20.7600      37.4500
 930  934  940       6777.25      6779.36      6785.77  -3.87154E-02 -2.54468E-01  1.44363E+00        0.0917       0.4010       0.4950       1.8934      27.2500      43.9700
 930  942  940       6777.25      6787.29      6785.77  -4.21481E-02 -3.00738E-01  1.72267E+00        0.0926       0.3879       0.8240       2.0392      27.2500      43.9700
 930  943  940       6777.25      6788.76      6785.77  -4.06821E-02 -5.65697E-01  1.65526E+00        0.0859       0.4737       0.4335       1.1012      27.2500      43.9700
 930  945  940       6777.25      6790.93      6785.77  -3.99119E-02 -4.55111E-01  1.72992E+00        0.0871       0.4587       0.6969       1.5202      27.2500      43.9700
 931  918  939       6777.54      6764.08      6785.38  -3.80073E-02  4.07444E-01  7.47541E-01        0.0999       0.2894       0.2543       0.9065      20.7600      37.4500
 931  921  940       6777.54      6765.84      6785.77  -4.32010E-02  3.78819E-01  9.68445E-01        0.0965       0.3381       0.6119       1.6243      27.2500      43.9700
 931  926  940       6777.54      6773.22      6785.77  -3.86950E-02  2.34388E-01  9.05208E-01        0.1000       0.2866       0.6549       2.2998      27.2500      43.9700
 931  929  940       6777.54      6776.08      6785.77  -3.94542E-02  3.22866E-01  9.81872E-01        0.0990       0.3011       0.3793       1.7792      27.2500      43.9700
 931  930  940       6777.54      6777.25      6785.77  -3.99959E-02  3.34700E-01  9.46867E-01        0.0947       0.3604       0.4415       1.6727      27.2500      43.9700
 931  936  940       6777.54      6783.41      6785.77  -4.04251E-02  6.35261E-01  8.97745E-01        0.0968       0.3333       0.3116       0.8578      27.2500      43.9700
 931  937  940       6777.54      6783.74      6785.77  -4.13227E-02  4.24268E-01  9.42187E-01        0.0962       0.3417       0.4217       1.4870      27.2500      43.9700
 931  939  940       6777.54      6785.38      6785.77  -3.81102E-02  2.02554E-01  8.39043E-01        0.0833       0.5065       0.9195       2.7566      27.2500      43.9700
 931  940  939       6777.54      6785.77      6785.38  -3.65505E-02  1.75698E-01  6.71128E-01        0.0945       0.3648       0.7391       2.1870      20.7600      37.4500
 931  941  940       6777.54      6786.50      6785.77  -3.79033E-02  1.85571E-01  9.33480E-01        0.0971       0.3267       0.6449       2.4370      27.2500      43.9700
 931  944  940       6777.54      6790.05      6785.77  -3.90171E-02  2.00056E-01  9.35774E-01        0.0972       0.3254       0.6503       2.7904      27.2500      43.9700
 932  917  940       6777.83      6763.12      6785.77  -3.87354E-02 -3.79851E-01  1.72784E+00        0.0936       0.3711       1.1208       2.1546      27.2500      43.9700
 932  918  939       6777.83      6764.08      6785.38  -3.74833E-02  6.70092E-01  3.41069E-01        0.0991       0.3007       0.7575       1.1400      20.7600      37.4500
 932  920  939       6777.83      6765.52      6785.38  -4.02908E-02 -5.62655E-01  1.62881E+00        0.0925       0.3915       0.8899       1.4618      20.7600      37.4500
 932  922  939       6777.83      6766.10      6785.38  -3.73875E-02 -2.08008E-01  1.26615E+00        0.0923       0.3945       1.2018       2.8307      20.7600      37.4500
 932  922  940       6777.83      6766.10      6785.77  -3.79626E-02 -2.60049E-01  1.58795E+00        0.0918       0.4002       1.2018       2.8307      27.2500      43.9700
 932  923  940       6777.83      6770.51      6785.77  -3.94356E-02 -3.20170E-01  1.61525E+00        0.0942       0.3671       0.8633       2.1688      27.2500      43.9700
 932  925  940       6777.83      6771.81      6785.77  -4.14247E-02 -2.35061E-01  1.72694E+00        0.0978       0.3141       1.5033       2.9370      27.2500      43.9700
 932  927  940       6777.83      6773.49      6785.77  -4.00952E-02 -3.24757E-01  1.75684E+00        0.0969       0.3286       1.2968       2.3821      27.2500      43.9700
 932  928  939       6777.83      6775.32      6785.38  -3.61825E-02 -2.98361E-01  1.35853E+00        0.0995       0.2961       1.2001       2.0632      20.7600      37.4500
 932  928  940       6777.83      6775.32      6785.77  -3.84405E-02 -4.33977E-01  1.85523E+00        0.0921       0.3963       1.2001       2.0632      27.2500      43.9700
 932  930  940       6777.83      6777.25      6785.77  -3.85454E-02  3.75705E-01  6.03634E-01        0.0951       0.3549       1.2906       2.1036      27.2500      43.9700
 932  934  939       6777.83      6779.36      6785.38  -3.80403E-02 -1.90033E-01  1.22867E+00        0.0945       0.3649       0.9316       2.5219      20.7600      37.4500
 932  934  940       6777.83      6779.36      6785.77  -3.79095E-02 -2.26535E-01  1.50056E+00        0.0953       0.3532       0.9316       2.5219      27.2500      43.9700
 932  939  918       6777.83      6785.38      6764.08  -1.33890E-02  2.52604E-01  3.76759E-01        0.0997       0.2926       2.2409       4.2438      74.3100     114.7500
 932  939  940       6777.83      6785.38      6785.77  -3.34637E-02  2.14693E-01  3.79624E-01        0.0794       0.5513       2.2409       4.2438      27.2500      43.9700
 932  940  939       6777.83      6785.77      6785.38  -3.26524E-02  3.01520E-01  6.82107E-02        0.0864       0.4697       1.9520       2.8669      20.7600      37.4500
 932  943  940       6777.83      6788.76      6785.77  -4.04582E-02 -6.40804E-01  1.93082E+00        0.0895       0.4281       0.8639       1.4667      27.2500      43.9700
 932  944  940       6777.83      6790.05      6785.77  -3.77044E-02  2.48759E-01  5.62850E-01        0.0950       0.3546       1.8430       3.5091      27.2500      43.9700
 932  945  940       6777.83      6790.93      6785.77  -3.86394E-02 -5.71626E-01  2.13901E+00        0.0965       0.3349       1.3116       2.0249      27.2500      43.9700
 933  918  939       6779.04      6764.08      6785.38  -4.19423E-02  1.96674E+00 -3.34909E-02        0.0848       0.4886       0.4529       0.6232      20.7600      37.4500
 933  920  940       6779.04      6765.52      6785.77  -3.92178E-02 -7.99454E-01  1.76323E+00        0.0983       0.3110       0.5223       0.8767      27.2500      43.9700
 933  922  939       6779.04      6766.10      6785.38  -3.64384E-02 -2.72256E-01  1.18126E+00        0.0969       0.3323       0.6984       1.6707      20.7600      37.4500
 933  922  940       6779.04      6766.10      6785.77  -3.86995E-02 -3.98390E-01  1.59824E+00        0.0897       0.4274       0.6984       1.6707      27.2500      43.9700
 933  923  940       6779.04      6770.51      6785.77  -3.99574E-02 -4.76520E-01  1.60846E+00        0.0929       0.3846       0.5066       1.2800      27.2500      43.9700
 933  925  940       6779.04      6771.81      6785.77  -4.20378E-02 -3.48115E-01  1.71773E+00        0.0951       0.3522       0.8822       1.9570      27.2500      43.9700
 933  926  939       6779.04      6773.22      6785.38  -3.56852E-02  4.54941E-01  2.54189E-01        0.0999       0.2892       1.1359       1.7784      20.7600      37.4500
 933  927  940       6779.04      6773.49      6785.77  -4.01514E-02 -4.24983E-01  1.66827E+00        0.0976       0.3191       0.7165       1.4059      27.2500      43.9700
 933  928  940       6779.04      6775.32      6785.77  -3.88231E-02 -5.39813E-01  1.72312E+00        0.0929       0.3851       0.6827       1.2683      27.2500      43.9700
 933  929  940       6779.04      6776.08      6785.77  -3.84103E-02  7.54685E-01  5.64467E-01        0.0996       0.2916       0.6742       1.2232      27.2500      43.9700
 933  930  940       6779.04      6777.25      6785.77  -3.85075E-02  9.96813E-01  2.18639E-01        0.0905       0.4153       0.7861       1.2097      27.2500      43.9700
 933  934  939       6779.04      6779.36      6785.38  -3.72168E-02 -2.45379E-01  1.15425E+00        0.0987       0.3071       0.5467       1.5004      20.7600      37.4500
 933  934  940       6779.04      6779.36      6785.77  -3.83394E-02 -3.33995E-01  1.49199E+00        0.0947       0.3613       0.5467       1.5004      27.2500      43.9700
 933  939  918       6779.04      6785.38      6764.08  -1.40188E-02  5.57168E-01  1.48470E-01        0.0842       0.4953       1.4534       2.4143      74.3100     114.7500
 933  939  940       6779.04      6785.38      6785.77  -3.11139E-02  4.33689E-01  1.32688E-01        0.0808       0.5354       1.4534       2.4143      27.2500      43.9700
 933  939  944       6779.04      6785.38      6790.05  -3.04988E-02  3.54927E-01  2.76719E-01        0.0992       0.2965       1.4534       2.4143      24.1400      41.1200
 933  943  940       6779.04      6788.76      6785.77  -4.05976E-02 -8.16511E-01  1.80174E+00        0.0903       0.4171       0.4852       0.8657      27.2500      43.9700
 933  944  939       6779.04      6790.05      6785.38  -3.57465E-02  3.80281E-01  3.14575E-01        0.0954       0.3514       1.1368       1.9184      20.7600      37.4500
 933  944  940       6779.04      6790.05      6785.77  -3.67386E-02  5.36252E-01  3.22834E-01        0.0979       0.3141       1.1368       1.9184      27.2500      43.9700
 933  945  940       6779.04      6790.93      6785.77  -3.92583E-02 -6.89055E-01  1.93081E+00        0.0948       0.3583       0.7697       1.2560      27.2500      43.9700
 934  919  939       6779.36      6764.44      6785.38  -3.86329E-02  4.14064E-01  6.79012E-01        0.0978       0.3199       0.3975       1.0455      20.7600      37.4500
 934  919  940       6779.36      6764.44      6785.77  -3.82873E-02  4.98113E-01  8.35434E-01        0.0997       0.2921       0.3975       1.0455      27.2500      43.9700
 934  921  940       6779.36      6765.84      6785.77  -4.11805E-02  2.49655E-01  9.55581E-01        0.0901       0.4221       0.7298       2.4772      27.2500      43.9700
 934  926  940       6779.36      6773.22      6785.77  -3.77496E-02  1.58654E-01  9.07805E-01        0.0971       0.3269       0.7834       2.7433      27.2500      43.9700
 934  929  940       6779.36      6776.08      6785.77  -3.94323E-02  2.54841E-01  9.75605E-01        0.0921       0.3943       0.4537       1.9287      27.2500      43.9700
 934  930  940       6779.36      6777.25      6785.77  -3.88557E-02  2.16746E-01  9.53592E-01        0.0931       0.3807       0.5282       2.0202      27.2500      43.9700
 934  932  940       6779.36      6777.83      6785.77  -3.83930E-02  5.20114E-01  8.13083E-01        0.0967       0.3320       0.3965       1.0735      27.2500      43.9700
 934  933  940       6779.36      6779.04      6785.77  -3.85518E-02  2.64809E-01  8.85493E-01        0.0964       0.3373       0.6665       1.8291      27.2500      43.9700
 934  935  939       6779.36      6780.23      6785.38  -3.86806E-02  3.48891E-01  6.59924E-01        0.0957       0.3489       0.4728       1.2282      20.7600      37.4500
 934  936  940       6779.36      6783.41      6785.77  -3.92029E-02  4.40593E-01  8.92615E-01        0.0918       0.3993       0.3728       1.3082      27.2500      43.9700
 934  937  940       6779.36      6783.74      6785.77  -3.99231E-02  2.82958E-01  9.40725E-01        0.0890       0.4359       0.5045       2.1042      27.2500      43.9700
 934  938  940       6779.36      6784.13      6785.77  -3.85872E-02  3.84311E-01  9.01562E-01        0.0946       0.3619       0.3476       1.2706      27.2500      43.9700
 934  939  940       6779.36      6785.38      6785.77  -3.69906E-02  1.31539E-01  8.53287E-01        0.0817       0.5249       1.0424       4.2040      27.2500      43.9700
 934  940  939       6779.36      6785.77      6785.38  -3.52262E-02  1.25475E-01  6.52208E-01        0.0956       0.3489       0.8157       2.6940      20.7600      37.4500
 934  941  940       6779.36      6786.50      6785.77  -3.76481E-02  1.34406E-01  9.38558E-01        0.0947       0.3590       0.7714       3.2902      27.2500      43.9700
 934  942  939       6779.36      6787.29      6785.38  -3.56604E-02  2.79718E-01  4.73160E-01        0.0953       0.3531       1.0147       1.9680      20.7600      37.4500
 934  943  939       6779.36      6788.76      6785.38  -3.87834E-02  6.95119E-01  4.56825E-01        0.0974       0.3252       0.5509       1.0024      20.7600      37.4500
 934  944  940       6779.36      6790.05      6785.77  -3.86965E-02  1.45299E-01  9.39923E-01        0.0926       0.3872       0.7577       3.1354      27.2500      43.9700
 934  947  939       6779.36      6794.28      6785.38  -3.58616E-02  2.22624E-01  6.47894E-01        0.0999       0.2899       0.6017       1.6020      20.7600      37.4500
 934  947  940       6779.36      6794.28      6785.77  -3.66520E-02  3.10216E-01  7.89523E-01        0.0962       0.3394       0.6017       1.6020      27.2500      43.9700
 935  920  939       6780.23      6765.52      6785.38  -4.10644E-02 -4.07358E-01  1.39405E+00        0.0996       0.2944       0.6771       1.2259      20.7600      37.4500
 935  922  939       6780.23      6766.10      6785.38  -3.91627E-02 -2.54638E-01  1.31137E+00        0.0901       0.4226       0.9978       2.3738      20.7600      37.4500
 935  922  940       6780.23      6766.10      6785.77  -3.72097E-02 -2.64792E-01  1.48834E+00        0.0997       0.2916       0.9978       2.3738      27.2500      43.9700
 935  923  939       6780.23      6770.51      6785.38  -3.89070E-02 -2.60044E-01  1.23329E+00        0.0997       0.2927       0.7411       1.8188      20.7600      37.4500
 935  928  939       6780.23      6775.32      6785.38  -3.85270E-02 -3.59733E-01  1.41118E+00        0.0951       0.3564       1.0014       1.7302      20.7600      37.4500
 935  930  940       6780.23      6777.25      6785.77  -3.77133E-02  3.03044E-01  7.75450E-01        0.0989       0.3003       0.9958       1.8675      27.2500      43.9700
 935  934  939       6780.23      6779.36      6785.38  -3.95492E-02 -2.38932E-01  1.27443E+00        0.0912       0.4091       0.8142       2.1149      20.7600      37.4500
 935  934  940       6780.23      6779.36      6785.77  -3.76195E-02 -2.47608E-01  1.45152E+00        0.0994       0.2952       0.8142       2.1149      27.2500      43.9700
 935  939  940       6780.23      6785.38      6785.77  -3.44109E-02  1.84867E-01  6.01592E-01        0.0865       0.4673       1.8369       3.8986      27.2500      43.9700
 935  944  940       6780.23      6790.05      6785.77  -3.74082E-02  2.08341E-01  7.42262E-01        0.0977       0.3161       1.4997       3.1139      27.2500      43.9700
 935  946  939       6780.23      6793.67      6785.38  -4.00251E-02 -2.35263E-01  1.45464E+00        0.0947       0.3588       1.4084       2.4951      20.7600      37.4500
 936  923  940       6783.41      6770.51      6785.77  -4.01395E-02 -2.97615E-01  1.61349E+00        0.0888       0.4376       0.7251       2.3070      27.2500      43.9700
 936  924  939       6783.41      6771.04      6785.38  -3.07818E-02 -2.86098E-01  1.13905E+00        0.0970       0.3306       1.0059       1.8532      20.7600      37.4500
 936  924  940       6783.41      6771.04      6785.77  -2.81074E-02 -3.64448E-01  1.33706E+00        0.0991       0.2995       1.0059       1.8532      27.2500      43.9700
 936  925  940       6783.41      6771.81      6785.77  -4.21451E-02 -2.14594E-01  1.71482E+00        0.0907       0.4114       1.2688       3.2580      27.2500      43.9700
 936  927  940       6783.41      6773.49      6785.77  -4.05848E-02 -2.77505E-01  1.70067E+00        0.0916       0.4013       1.0616       2.5340      27.2500      43.9700
 936  928  939       6783.41      6775.32      6785.38  -3.51246E-02 -2.08365E-01  1.19226E+00        0.0987       0.3071       0.9088       2.1947      20.7600      37.4500
 936  928  940       6783.41      6775.32      6785.77  -3.88558E-02 -3.43100E-01  1.73193E+00        0.0869       0.4626       0.9088       2.1947      27.2500      43.9700
 936  934  939       6783.41      6779.36      6785.38  -3.70593E-02 -1.58332E-01  1.15708E+00        0.0937       0.3754       0.7644       2.6826      20.7600      37.4500
 936  934  940       6783.41      6779.36      6785.77  -3.84414E-02 -2.09698E-01  1.49640E+00        0.0910       0.4103       0.7644       2.6826      27.2500      43.9700
 936  939  940       6783.41      6785.38      6785.77  -2.98766E-02  2.98888E-01  1.51825E-02        0.0889       0.4375       2.4115       3.7109      27.2500      43.9700
 936  942  940       6783.41      6787.29      6785.77  -4.36097E-02 -3.00676E-01  1.98864E+00        0.0912       0.4071       1.4881       2.8892      27.2500      43.9700
 936  943  940       6783.41      6788.76      6785.77  -4.07250E-02 -5.15130E-01  1.80976E+00        0.0839       0.4974       0.6673       1.5602      27.2500      43.9700
 936  945  940       6783.41      6790.93      6785.77  -3.93848E-02 -4.12344E-01  1.90257E+00        0.0877       0.4512       1.0999       2.1539      27.2500      43.9700
 936  946  939       6783.41      6793.67      6785.38  -3.54970E-02 -1.59290E-01  1.25882E+00        0.0958       0.3445       1.4164       3.3080      20.7600      37.4500
 936  946  940       6783.41      6793.67      6785.77  -3.53917E-02 -1.99839E-01  1.55977E+00        0.0959       0.3384       1.4164       3.3080      27.2500      43.9700
 936  949  940       6783.41      6796.94      6785.77  -4.15455E-02 -2.33275E-01  1.76212E+00        0.0879       0.4487       1.0809       2.9876      27.2500      43.9700
 937  923  940       6783.74      6770.51      6785.77  -4.22396E-02 -4.58782E-01  1.71185E+00        0.0875       0.4553       0.4508       1.7047      27.2500      43.9700
 937  925  940       6783.74      6771.81      6785.77  -4.34646E-02 -2.98612E-01  1.74750E+00        0.0905       0.4142       0.7888       2.3507      27.2500      43.9700
 937  927  940       6783.74      6773.49      6785.77  -4.28103E-02 -4.22188E-01  1.80260E+00        0.0898       0.4253       0.6600       1.8724      27.2500      43.9700
 937  928  940       6783.74      6775.32      6785.77  -4.06991E-02 -4.81838E-01  1.78344E+00        0.0872       0.4591       0.5650       1.6217      27.2500      43.9700
 937  931  940       6783.74      6777.54      6785.77  -4.29559E-02 -2.68599E-01  1.68908E+00        0.0999       0.2902       0.6725       2.3712      27.2500      43.9700
 937  934  939       6783.74      6779.36      6785.38  -3.70099E-02 -2.12577E-01  1.14075E+00        0.0977       0.3215       0.4752       1.9822      20.7600      37.4500
 937  934  940       6783.74      6779.36      6785.77  -4.00005E-02 -3.19804E-01  1.56844E+00        0.0895       0.4298       0.4752       1.9822      27.2500      43.9700
