                        # n, d, f, numerator, denominator, feature, p0, p1, p2, sigma_fit, Rap, minr, maxr, minew, maxew
 896  916  909       6749.05      6762.71      6754.55  -1.84337E-02 -4.97680E-01  1.44500E+00        0.0972       0.3290       0.4715       1.2085      50.4000      87.2700
 896  917  909       6749.05      6763.12      6754.55  -1.92256E-02 -3.61892E-01  1.42687E+00        0.0940       0.3715       0.4896       1.4948      50.4000      87.2700
 898  888  909       6750.11      6740.96      6754.55  -2.22789E-02 -1.76234E-01  1.64041E+00        0.0973       0.3265       1.2388       3.5732      50.4000      87.2700
 899  882  909       6750.42      6737.45      6754.55  -2.09979E-02 -7.13790E-01  1.94019E+00        0.0912       0.4080       0.8035       1.3604      50.4000      87.2700
 899  884  909       6750.42      6738.54      6754.55  -1.97403E-02 -7.84294E-01  1.76076E+00        0.0915       0.4052       0.6337       1.0858      50.4000      87.2700
 899  886  909       6750.42      6739.46      6754.55  -1.87004E-02 -6.35904E-01  1.77193E+00        0.0958       0.3482       0.8976       1.4640      50.4000      87.2700
 899  887  909       6750.42      6739.92      6754.55  -2.09372E-02 -4.74987E-01  1.73671E+00        0.0906       0.4164       0.8355       1.5862      50.4000      87.2700
 899  888  909       6750.42      6740.96      6754.55  -1.89820E-02 -4.06420E-01  1.57335E+00        0.0825       0.5159       0.7952       1.7223      50.4000      87.2700
 899  889  909       6750.42      6741.76      6754.55  -1.97533E-02 -3.46728E-01  1.55407E+00        0.0981       0.3149       0.8805       1.7167      50.4000      87.2700
 899  890  896       6750.42      6743.98      6749.05  -1.57852E-02 -9.52538E-01  1.51990E+00        0.0943       0.3672       0.7260       1.1949      35.2700      66.5900
 899  890  909       6750.42      6743.98      6754.55  -1.60455E-02 -9.98769E-01  1.77151E+00        0.0851       0.4848       0.7260       1.1949      50.4000      87.2700
 899  891  909       6750.42      6744.45      6754.55  -1.83740E-02 -6.49981E-01  1.64951E+00        0.0936       0.3768       0.7050       1.2170      50.4000      87.2700
 899  897  909       6750.42      6749.34      6754.55  -2.00415E-02 -5.09443E-01  1.73123E+00        0.0985       0.3096       0.8446       1.4526      50.4000      87.2700
 899  900  909       6750.42      6750.76      6754.55  -1.69512E-02 -6.54207E-01  1.54312E+00        0.0922       0.3950       0.6548       1.1976      50.4000      87.2700
