# line_id  wave		width
l0246      5432.09         0.23
l0247      5432.30         0.18
l0248      5432.59         0.41
l0249      5432.95         0.30
l0250      5435.25         0.18
l0251      5435.50         0.33
l0252      5435.88         0.43
l0253      5436.28         0.38
l0254      5436.67         0.39
l0255      5437.06         0.21
l0256      5437.78         0.35
l0257      5438.25         0.50
l0258      5439.71         0.33
l0259      5441.38         0.29
l0260      5441.88         0.20
l0261      5442.31         0.39
l0262      5442.75         0.35
l0263      5443.06         0.17
l0264      5443.76         0.19
l0265      5445.25         0.23
l0266      5445.43         0.12
l0267      5445.70         0.22
l0268      5445.93         0.24
l0269      5446.15         0.20
l0270      5446.33         0.16
l0271      5447.94         0.22
l0272      5448.44         0.11
l0273      5448.55         0.12
l0274      5449.34         0.18
l0275      5449.54         0.25
l0276      5449.77         0.20
l0277      5451.00         0.13
l0278      5451.21         0.29
l0279      5451.42         0.15
l0280      5451.59         0.19
l0281      5451.79         0.19
l0282      5452.00         0.25
l0283      5452.22         0.19
l0284      5452.42         0.20
l0285      5452.83         0.35
l0286      5453.06         0.11
l0287      5453.37         0.35
l0288      5453.70         0.32
l0289      5454.17         0.62
l0290      5454.62         0.28
l0291      5454.85         0.18
l0292      5455.17         0.22
l0293      5456.35         0.19
l0294      5456.57         0.28
l0295      5456.76         0.10
l0296      5456.88         0.15
l0297      5457.04         0.17
l0298      5457.19         0.12
l0299      5457.32         0.14
l0300      5457.44         0.09
l0301      5457.59         0.12
l0302      5457.72         0.15
l0303      5457.85         0.10
l0304      5457.99         0.14
l0305      5458.17         0.21
l0306      5458.33         0.11
l0307      5458.45         0.16
l0308      5458.64         0.23
l0309      5458.83         0.15
l0310      5459.23         0.21
l0311      5459.44         0.21
l0312      5459.64         0.20
l0313      5460.14         0.14
l0314      5460.27         0.13
l0315      5460.47         0.26
l0316      5460.75         0.13
l0317      5460.92         0.22
l0318      5461.19         0.14
l0319      5461.56         0.44
l0320      5462.04         0.25
l0321      5462.43         0.54
l0322      5462.94         0.24
l0323      5463.29         0.42
l0324      5463.74         0.19
l0325      5463.91         0.16
l0326      5464.06         0.14
l0327      5464.19         0.12
l0328      5464.33         0.16
l0329      5464.46         0.11
l0330      5465.68         0.27
l0331      5465.92         0.17
l0332      5466.10         0.22
l0333      5466.27         0.13
l0334      5466.50         0.33
l0335      5466.85         0.14
l0336      5467.06         0.30
l0337      5467.46         0.31
l0338      5467.81         0.17
l0339      5468.06         0.32
l0340      5468.36         0.28
l0341      5468.61         0.22
l0342      5468.83         0.22
l0343      5469.05         0.22
l0344      5469.30         0.30
l0345      5469.57         0.23
l0346      5469.79         0.24
l0347      5470.31         0.13
l0348      5470.59         0.44
l0349      5470.88         0.17
l0350      5471.23         0.52
l0351      5471.79         0.19
l0352      5471.96         0.17
l0353      5472.31         0.55
l0354      5472.69         0.21
l0355      5472.88         0.19
l0356      5473.04         0.12
l0357      5473.56         0.41
l0358      5473.88         0.21
l0359      5474.04         0.12
l0360      5474.20         0.19
l0361      5474.35         0.12
l0362      5474.50         0.19
l0363      5474.66         0.12
l0364      5475.18         0.12
l0365      5475.35         0.21
l0366      5475.50         0.11
l0367      5475.74         0.35
l0368      5476.15         0.12
l0369      5476.28         0.14
l0370      5476.39         0.08
l0371      5476.54         0.23
l0372      5476.90         0.48
l0373      5477.29         0.29
l0374      5477.63         0.41
l0375      5477.95         0.22
l0376      5478.15         0.20
l0377      5478.30         0.10
l0378      5478.45         0.20
l0379      5478.77         0.45
l0380      5479.16         0.32
l0381      5479.39         0.14
l0382      5479.54         0.19
l0383      5479.71         0.13
l0384      5479.85         0.17
l0385      5480.15         0.17
l0386      5480.30         0.14
l0387      5480.49         0.24
l0388      5480.69         0.17
l0389      5480.88         0.22
l0390      5481.34         0.53
l0391      5481.69         0.17
l0392      5481.92         0.30
l0393      5482.29         0.43
l0394      5482.58         0.16
l0395      5482.78         0.23
l0396      5483.06         0.33
l0397      5483.42         0.41
l0398      5483.75         0.25
l0399      5483.94         0.13
l0400      5484.20         0.38
l0401      5484.58         0.38
l0402      5485.15         0.25
l0403      5485.51         0.48
l0404      5485.83         0.18
l0405      5486.29         0.58
l0406      5486.77         0.37
l0407      5487.02         0.14
l0408      5487.26         0.35
l0409      5487.52         0.17
l0410      5487.75         0.27
l0411      5487.96         0.17
l0412      5488.33         0.58
l0413      5488.74         0.23
l0414      5489.09         0.48
l0415      5489.40         0.14
l0416      5489.60         0.26
l0417      5490.17         0.35
l0418      5490.41         0.13
l0419      5490.83         0.36
l0420      5491.10         0.19
l0421      5491.33         0.25
l0422      5491.87         0.54
l0423      5492.34         0.40
l0424      5492.62         0.16
l0425      5492.79         0.19
l0426      5492.95         0.12
l0427      5493.38         0.37
l0428      5493.86         0.23
l0429      5494.20         0.45
l0430      5494.48         0.13
l0431      5494.63         0.15
l0432      5494.98         0.20
l0433      5495.17         0.19
l0434      5495.42         0.30
l0435      5495.66         0.18
l0436      5495.86         0.22
l0437      5496.58         0.15
l0438      5496.75         0.19
l0439      5496.95         0.19
l0440      5497.10         0.13
l0441      5497.25         0.15
l0442      5497.55         0.47
l0443      5497.93         0.28
l0444      5498.18         0.23
l0445      5498.43         0.27
l0446      5498.67         0.21
l0447      5498.84         0.12
l0448      5499.04         0.29
l0449      5499.26         0.14
l0450      5499.41         0.17
l0451      5500.20         0.09
l0452      5500.32         0.15
l0453      5500.45         0.11
l0454      5500.59         0.18
l0455      5500.77         0.18
l0456      5501.13         0.13
l0457      5501.48         0.59
l0458      5501.87         0.13
l0459      5501.99         0.11
l0460      5502.11         0.14
l0461      5502.28         0.19
l0462      5502.44         0.13
l0463      5502.57         0.14
l0464      5503.04         0.23
l0465      5503.21         0.13
l0466      5503.34         0.12
l0467      5503.47         0.14
l0468      5504.13         0.19
l0469      5504.44         0.29
l0470      5505.16         0.17
l0471      5505.47         0.46
l0472      5506.03         0.65
l0473      5506.48         0.25
l0474      5506.82         0.44
l0475      5507.19         0.29
l0476      5507.37         0.08
l0477      5507.58         0.25
l0478      5507.83         0.25
l0479      5508.04         0.18
l0480      5508.28         0.15
l0481      5508.44         0.18
l0482      5508.80         0.27
l0483      5509.10         0.32
l0484      5509.38         0.23
l0485      5509.63         0.28
l0486      5509.86         0.18
l0487      5510.24         0.35
l0488      5510.47         0.12
l0489      5510.71         0.37
l0490      5510.97         0.14
l0491      5511.19         0.21
l0492      5511.38         0.19
l0493      5511.78         0.16
l0494      5511.92         0.11
l0495      5512.14         0.34
l0496      5512.54         0.25
l0497      5513.02         0.41
l0498      5513.29         0.15
l0499      5513.45         0.16
l0500      5513.70         0.35
l0501      5513.96         0.15
l0502      5514.48         0.70
l0503      5515.11         0.28
l0504      5515.33         0.17
l0505      5515.54         0.24
l0506      5515.70         0.08
l0507      5516.75         0.29
l0508      5517.17         0.25
l0509      5517.38         0.19
l0510      5517.56         0.17
l0511      5517.77         0.25
l0512      5518.00         0.19
l0513      5518.17         0.17
l0514      5518.45         0.39
l0515      5518.75         0.22
l0516      5519.01         0.31
l0517      5519.32         0.30
l0518      5519.54         0.13
l0519      5519.66         0.11
l0520      5519.81         0.21
l0521      5521.20         0.18
l0522      5521.46         0.18
l0523      5521.61         0.12
l0524      5521.77         0.20
l0525      5522.03         0.26
l0526      5522.33         0.13
l0527      5522.60         0.43
l0528      5523.13         0.51
l0529      5523.46         0.15
l0530      5523.60         0.12
l0531      5523.82         0.32
l0532      5524.08         0.19
l0533      5524.27         0.21
l0534      5524.49         0.12
l0535      5524.72         0.35
l0536      5526.08         0.14
l0537      5526.34         0.14
l0538      5526.56         0.17
l0539      5526.75         0.21
l0540      5527.13         0.22
l0541      5527.36         0.14
l0542      5527.58         0.29
l0543      5527.92         0.25
l0544      5528.13         0.19
l0545      5528.38         0.31
l0546      5528.69         0.30
l0547      5528.94         0.17
l0548      5529.17         0.30
l0549      5529.53         0.20
l0550      5529.85         0.15
l0551      5531.18         0.24
l0552      5531.40         0.20
l0553      5531.73         0.46
