# line_id  wave		width
l1074      5683.50         0.15
l1075      5683.71         0.28
l1076      5684.12         0.54
l1077      5684.64         0.50
l1078      5685.55         0.31
l1079      5685.93         0.44
l1080      5686.22         0.15
l1081      5686.57         0.31
l1082      5686.85         0.25
l1083      5687.10         0.26
l1084      5688.13         0.57
l1085      5688.52         0.20
l1086      5689.09         0.23
l1087      5689.43         0.24
l1088      5690.17         0.23
l1089      5690.51         0.18
l1090      5690.88         0.24
l1091      5691.17         0.33
l1092      5691.46         0.27
l1093      5691.71         0.23
l1094      5692.00         0.37
l1095      5692.30         0.23
l1096      5692.58         0.13
l1097      5692.74         0.19
l1098      5693.05         0.18
l1099      5693.55         0.32
l1100      5694.21         0.14
l1101      5694.35         0.15
l1102      5694.51         0.16
l1103      5694.69         0.21
l1104      5694.99         0.14
l1105      5695.42         0.29
l1106      5695.72         0.30
l1107      5696.17         0.15
l1108      5696.33         0.17
l1109      5696.54         0.25
l1110      5696.87         0.21
l1111      5697.07         0.20
l1112      5697.26         0.18
l1113      5697.63         0.41
l1114      5698.54         0.33
l1115      5698.83         0.23
l1116      5699.10         0.32
l1117      5699.32         0.12
l1118      5699.46         0.17
l1119      5699.65         0.19
l1120      5700.54         0.27
l1121      5700.92         0.51
l1122      5701.28         0.20
l1123      5701.53         0.30
l1124      5701.73         0.10
l1125      5701.84         0.13
l1126      5702.46         0.57
l1127      5703.05         0.24
l1128      5703.56         0.29
l1129      5703.77         0.14
l1130      5703.90         0.12
l1131      5704.05         0.18
l1132      5704.32         0.14
l1133      5705.94         0.49
l1134      5706.31         0.26
l1135      5706.58         0.27
l1136      5706.79         0.15
l1137      5706.97         0.23
l1138      5707.21         0.23
l1139      5707.40         0.15
l1140      5708.29         0.35
l1141      5708.61         0.30
l1142      5709.42         0.52
l1143      5709.74         0.11
l1144      5710.52         0.25
l1145      5711.01         0.47
l1146      5711.88         0.64
l1147      5712.46         0.14
l1148      5712.75         0.35
l1149      5713.00         0.16
l1150      5713.16         0.16
l1151      5714.31         0.20
l1152      5714.49         0.16
l1153      5714.66         0.17
l1154      5714.85         0.21
l1155      5715.16         0.44
l1156      5715.49         0.22
l1157      5715.87         0.26
l1158      5716.21         0.15
l1159      5716.45         0.34
l1160      5716.67         0.09
l1161      5717.12         0.14
l1162      5717.32         0.26
l1163      5717.50         0.10
l1164      5717.61         0.12
l1165      5717.83         0.33
l1166      5718.09         0.18
l1167      5718.32         0.28
l1168      5718.52         0.12
l1169      5718.67         0.19
l1170      5718.92         0.29
l1171      5719.15         0.17
l1172      5719.32         0.18
l1173      5719.75         0.41
l1174      5720.46         0.33
l1175      5720.80         0.19
l1176      5721.09         0.26
l1177      5721.46         0.13
l1178      5722.04         0.20
l1179      5722.39         0.24
l1180      5722.59         0.17
l1181      5722.75         0.15
l1182      5723.27         0.22
l1183      5723.62         0.25
l1184      5723.81         0.14
l1185      5724.04         0.32
l1186      5724.34         0.08
l1187      5724.54         0.24
l1188      5724.84         0.32
l1189      5725.12         0.23
l1190      5725.35         0.24
l1191      5726.06         0.17
l1192      5726.37         0.28
l1193      5726.65         0.28
l1194      5727.05         0.52
l1195      5727.42         0.21
l1196      5727.68         0.32
l1197      5727.93         0.18
l1198      5728.16         0.27
l1199      5728.43         0.28
l1200      5728.79         0.18
l1201      5729.10         0.40
l1202      5730.15         0.22
l1203      5730.37         0.21
l1204      5730.56         0.18
l1205      5730.75         0.19
l1206      5730.91         0.14
l1207      5731.23         0.50
l1208      5731.72         0.27
l1209      5731.94         0.17
l1210      5732.08         0.13
l1211      5732.24         0.18
l1212      5732.54         0.21
l1213      5732.75         0.19
l1214      5732.92         0.15
l1215      5733.07         0.16
l1216      5733.22         0.08
l1217      5733.34         0.17
l1218      5733.49         0.12
l1219      5733.63         0.17
l1220      5734.46         0.17
l1221      5734.68         0.26
l1222      5734.90         0.19
l1223      5735.06         0.13
l1224      5735.17         0.11
l1225      5735.34         0.23
l1226      5735.68         0.22
l1227      5736.05         0.27
l1228      5736.29         0.19
l1229      5736.62         0.08
l1230      5736.76         0.20
l1231      5737.05         0.39
l1232      5737.93         0.28
l1233      5738.32         0.20
l1234      5738.74         0.24
l1235      5739.03         0.35
l1236      5739.28         0.16
l1237      5739.48         0.25
l1238      5739.98         0.20
l1239      5740.38         0.29
l1240      5740.64         0.23
l1241      5740.93         0.19
l1242      5741.21         0.12
l1243      5741.41         0.28
l1244      5741.92         0.40
l1245      5742.45         0.23
l1246      5742.73         0.34
l1247      5743.01         0.23
l1248      5743.47         0.36
l1249      5743.91         0.34
l1250      5744.20         0.19
l1251      5744.44         0.29
l1252      5745.07         0.15
l1253      5745.21         0.13
l1254      5745.36         0.18
l1255      5745.54         0.17
l1256      5745.91         0.19
l1257      5746.13         0.15
l1258      5746.29         0.16
l1259      5746.47         0.20
l1260      5746.71         0.29
l1261      5747.79         0.33
l1262      5748.09         0.26
l1263      5748.39         0.34
l1264      5748.69         0.25
l1265      5748.92         0.22
l1266      5749.15         0.24
l1267      5749.38         0.23
l1268      5749.67         0.31
l1269      5750.15         0.35
l1270      5750.46         0.28
l1271      5751.75         0.32
l1272      5752.17         0.52
l1273      5752.52         0.21
l1274      5752.83         0.13
l1275      5752.96         0.11
l1276      5753.14         0.26
l1277      5753.65         0.17
l1278      5754.02         0.21
l1279      5754.25         0.25
l1280      5754.44         0.13
l1281      5754.73         0.46
l1282      5755.33         0.18
l1283      5758.75         0.24
l1284      5759.04         0.30
l1285      5759.31         0.24
l1286      5759.75         0.32
l1287      5760.18         0.20
l1288      5760.35         0.15
l1289      5760.53         0.19
l1290      5760.79         0.35
l1291      5761.07         0.20
l1292      5761.35         0.36
l1293      5761.60         0.14
l1294      5761.88         0.41
l1295      5762.33         0.49
l1296      5762.65         0.16
l1297      5763.04         0.61
l1298      5763.48         0.28
l1299      5763.74         0.24
l1300      5763.98         0.25
l1301      5764.20         0.18
l1302      5764.46         0.17
l1303      5764.59         0.11
l1304      5764.70         0.10
l1305      5764.84         0.19
l1306      5765.16         0.09
l1307      5765.31         0.22
l1308      5765.52         0.20
l1309      5765.90         0.25
l1310      5766.11         0.18
l1311      5766.35         0.31
l1312      5766.85         0.21
l1313      5767.40         0.36
l1314      5767.68         0.19
l1315      5767.93         0.31
l1316      5768.18         0.18
l1317      5768.42         0.30
l1318      5768.67         0.21
l1319      5769.05         0.32
l1320      5769.34         0.26
l1321      5769.73         0.33
l1322      5770.33         0.18
l1323      5770.55         0.27
l1324      5770.79         0.19
l1325      5771.00         0.23
l1326      5771.38         0.13
l1327      5771.60         0.13
l1328      5772.20         0.20
l1329      5772.45         0.30
l1330      5772.69         0.12
l1331      5773.23         0.24
l1332      5773.73         0.17
l1333      5773.84         0.07
l1334      5774.06         0.32
l1335      5774.32         0.19
l1336      5774.54         0.27
l1337      5774.81         0.25
l1338      5775.10         0.37
l1339      5775.42         0.25
l1340      5775.62         0.15
l1341      5775.77         0.16
l1342      5775.99         0.27
l1343      5776.21         0.19
l1344      5776.43         0.23
l1345      5776.68         0.27
l1346      5776.88         0.12
l1347      5777.04         0.21
l1348      5777.35         0.20
l1349      5777.62         0.16
l1350      5777.81         0.21
l1351      5777.99         0.15
l1352      5778.36         0.38
l1353      5778.63         0.13
l1354      5778.87         0.36
l1355      5779.13         0.16
l1356      5779.29         0.16
l1357      5779.84         0.35
l1358      5780.17         0.32
l1359      5780.58         0.18
l1360      5780.85         0.37
l1361      5781.17         0.25
l1362      5781.58         0.15
l1363      5781.78         0.26
l1364      5782.16         0.52
l1365      5782.54         0.25
l1366      5782.79         0.27
l1367      5783.19         0.49
l1368      5783.77         0.50
l1369      5785.00         0.27
l1370      5785.25         0.24
l1371      5785.47         0.20
l1372      5785.71         0.28
l1373      5785.96         0.21
l1374      5786.14         0.16
l1375      5786.29         0.16
l1376      5786.46         0.19
l1377      5786.67         0.21
l1378      5786.98         0.41
l1379      5787.30         0.14
l1380      5787.51         0.31
l1381      5787.88         0.31
l1382      5788.10         0.18
l1383      5788.32         0.26
l1384      5788.57         0.23
l1385      5788.75         0.13
l1386      5789.13         0.35
l1387      5789.47         0.35
l1388      5789.92         0.22
l1389      5790.12         0.17
l1390      5790.26         0.12
l1391      5790.38         0.12
l1392      5790.50         0.11
l1393      5790.65         0.20
l1394      5790.92         0.35
l1395      5791.81         0.18
l1396      5792.06         0.33
l1397      5792.41         0.19
l1398      5792.57         0.14
l1399      5793.11         0.36
l1400      5793.40         0.22
l1401      5793.83         0.33
l1402      5794.08         0.16
l1403      5794.29         0.26
l1404      5794.58         0.13
l1405      5794.75         0.20
l1406      5795.02         0.12
l1407      5795.17         0.18
l1408      5795.41         0.16
l1409      5795.60         0.22
l1410      5795.81         0.21
l1411      5795.98         0.12
l1412      5796.13         0.19
l1413      5796.36         0.14
l1414      5796.72         0.36
l1415      5796.96         0.11
l1416      5797.16         0.15
l1417      5797.41         0.16
l1418      5797.57         0.15
l1419      5797.76         0.24
l1420      5797.97         0.18
l1421      5798.17         0.21
l1422      5798.42         0.30
l1423      5798.67         0.21
l1424      5798.99         0.43
l1425      5799.47         0.22
l1426      5799.68         0.20
l1427      5799.87         0.18
l1428      5800.46         0.28
l1429      5801.62         0.40
l1430      5802.00         0.35
l1431      5802.49         0.31
l1432      5802.75         0.23
l1433      5803.05         0.36
l1434      5803.48         0.25
l1435      5804.02         0.33
l1436      5804.34         0.33
l1437      5805.06         0.56
l1438      5805.43         0.19
l1439      5805.67         0.29
l1440      5805.91         0.18
l1441      5806.42         0.12
l1442      5806.54         0.11
l1443      5806.70         0.22
l1444      5806.91         0.19
l1445      5807.18         0.36
l1446      5807.96         0.19
l1447      5808.14         0.16
l1448      5808.31         0.17
l1449      5808.62         0.14
l1450      5809.24         0.20
l1451      5809.43         0.19
l1452      5809.59         0.12
l1453      5809.77         0.25
l1454      5810.00         0.19
l1455      5810.23         0.26
l1456      5810.42         0.21
l1457      5810.61         0.16
l1458      5810.79         0.20
l1459      5811.12         0.45
l1460      5811.44         0.20
l1461      5811.67         0.25
l1462      5811.85         0.12
l1463      5812.02         0.22
l1464      5812.35         0.19
l1465      5812.60         0.29
l1466      5812.88         0.29
l1467      5813.25         0.17
l1468      5813.63         0.21
l1469      5813.96         0.25
l1470      5814.21         0.15
l1471      5814.49         0.42
l1472      5814.86         0.34
l1473      5815.16         0.26
l1474      5815.46         0.35
l1475      5815.83         0.37
l1476      5816.13         0.24
l1477      5816.46         0.43
l1478      5816.89         0.23
l1479      5817.08         0.14
l1480      5817.20         0.10
l1481      5817.50         0.25
l1482      5817.90         0.11
l1483      5818.25         0.41
l1484      5818.76         0.12
l1485      5818.89         0.14
l1486      5819.09         0.27
l1487      5819.45         0.19
l1488      5819.75         0.43
l1489      5820.13         0.33
l1490      5820.44         0.28
l1491      5820.69         0.22
l1492      5821.08         0.27
l1493      5821.29         0.13
l1494      5821.45         0.20
l1495      5821.64         0.18
l1496      5821.80         0.15
l1497      5821.94         0.12
l1498      5822.05         0.10
l1499      5822.19         0.18
l1500      5822.35         0.14
l1501      5822.58         0.32
l1502      5822.85         0.21
l1503      5823.75         0.29
l1504      5823.97         0.15
l1505      5824.15         0.21
l1506      5824.50         0.13
l1507      5824.88         0.31
l1508      5825.08         0.11
l1509      5825.36         0.12
l1510      5825.51         0.19
l1511      5825.71         0.20
l1512      5826.07         0.22
l1513      5826.92         0.15
l1514      5827.07         0.14
l1515      5827.24         0.19
l1516      5827.41         0.17
l1517      5827.62         0.25
l1518      5827.85         0.21
l1519      5828.06         0.22
l1520      5828.39         0.44
l1521      5828.87         0.28
l1522      5829.17         0.31
l1523      5829.51         0.39
l1524      5829.82         0.22
l1525      5830.03         0.24
l1526      5830.25         0.19
l1527      5830.52         0.37
l1528      5830.84         0.26
l1529      5831.04         0.15
l1530      5831.23         0.21
l1531      5831.51         0.27
l1532      5831.75         0.09
l1533      5831.96         0.34
l1534      5832.60         0.45
l1535      5833.00         0.35
l1536      5833.47         0.31
l1537      5833.75         0.23
l1538      5833.94         0.17
l1539      5834.10         0.14
l1540      5834.31         0.29
l1541      5835.08         0.15
l1542      5835.21         0.12
l1543      5835.73         0.21
l1544      5835.91         0.14
l1545      5836.08         0.20
l1546      5836.34         0.13
l1547      5836.74         0.40
l1548      5837.01         0.15
l1549      5837.25         0.24
l1550      5837.62         0.49
l1551      5838.16         0.15
l1552      5838.34         0.22
l1553      5838.63         0.35
l1554      5839.13         0.17
l1555      5839.40         0.37
l1556      5839.78         0.22
l1557      5840.00         0.21
l1558      5840.19         0.16
l1559      5840.45         0.35
l1560      5840.75         0.27
l1561      5841.18         0.52
l1562      5841.67         0.47
l1563      5842.02         0.21
l1564      5842.36         0.48
l1565      5842.68         0.16
l1566      5842.84         0.16
l1567      5843.63         0.22
l1568      5843.88         0.27
l1569      5844.28         0.31
l1570      5844.69         0.09
l1571      5845.05         0.23
l1572      5845.60         0.18
l1573      5845.79         0.19
l1574      5846.22         0.30
l1575      5846.44         0.14
l1576      5846.58         0.13
l1577      5846.70         0.12
l1578      5847.01         0.40
l1579      5847.33         0.23
l1580      5847.58         0.18
l1581      5847.73         0.13
l1582      5847.87         0.13
l1583      5848.06         0.26
l1584      5848.23         0.09
l1585      5848.33         0.11
l1586      5848.49         0.20
l1587      5848.68         0.18
l1588      5848.83         0.11
l1589      5848.99         0.22
l1590      5849.24         0.28
l1591      5849.67         0.39
l1592      5849.97         0.23
l1593      5850.43         0.24
l1594      5850.79         0.19
l1595      5851.02         0.14
l1596      5851.15         0.11
l1597      5851.63         0.31
l1598      5851.96         0.37
l1599      5852.40         0.49
l1600      5852.78         0.27
l1601      5853.22         0.64
l1602      5853.77         0.45
l1603      5854.08         0.18
l1604      5854.24         0.11
l1605      5854.34         0.11
l1606      5854.48         0.17
l1607      5854.66         0.20
l1608      5855.02         0.45
l1609      5855.46         0.23
l1610      5855.79         0.32
l1611      5856.25         0.11
l1612      5856.42         0.21
l1613      5856.64         0.24
l1614      5857.03         0.28
l1615      5857.46         0.57
l1616      5857.95         0.23
l1617      5858.14         0.16
l1618      5858.30         0.16
l1619      5858.61         0.28
l1620      5858.80         0.12
l1621      5858.96         0.21
l1622      5859.22         0.23
l1623      5859.54         0.39
l1624      5859.79         0.14
l1625      5859.95         0.16
l1626      5860.23         0.37
l1627      5860.49         0.16
l1628      5860.67         0.19
l1629      5860.87         0.21
l1630      5861.02         0.10
l1631      5861.21         0.27
l1632      5861.67         0.16
l1633      5861.92         0.34
l1634      5862.17         0.17
l1635      5862.44         0.36
l1636      5862.70         0.15
l1637      5862.85         0.16
l1638      5863.03         0.10
l1639      5863.24         0.15
l1640      5863.37         0.12
l1641      5863.54         0.21
l1642      5863.70         0.11
l1643      5863.80         0.10
l1644      5864.04         0.26
l1645      5864.37         0.15
l1646      5864.52         0.16
l1647      5864.69         0.18
l1648      5864.88         0.19
l1649      5865.07         0.19
l1650      5865.25         0.18
l1651      5865.47         0.27
l1652      5865.79         0.23
l1653      5866.10         0.16
l1654      5866.40         0.44
l1655      5866.70         0.16
l1656      5866.96         0.35
l1657      5867.27         0.29
l1658      5867.62         0.39
l1659      5867.96         0.29
l1660      5868.22         0.23
l1661      5868.47         0.26
l1662      5868.93         0.23
l1663      5869.16         0.22
l1664      5869.52         0.32
l1665      5869.81         0.30
l1666      5870.05         0.19
l1667      5870.25         0.20
l1668      5870.42         0.14
l1669      5870.60         0.21
l1670      5870.84         0.28
l1671      5871.06         0.17
l1672      5871.23         0.16
l1673      5871.41         0.20
l1674      5871.56         0.11
l1675      5871.70         0.15
l1676      5871.85         0.16
l1677      5872.02         0.18
l1678      5872.22         0.22
l1679      5872.40         0.14
l1680      5873.12         0.29
l1681      5873.43         0.35
l1682      5873.67         0.12
l1683      5873.90         0.33
l1684      5874.11         0.10
l1685      5874.25         0.17
l1686      5874.99         0.15
l1687      5875.16         0.20
l1688      5875.36         0.20
l1689      5875.56         0.21
l1690      5875.75         0.15
l1691      5875.94         0.14
l1692      5876.12         0.21
l1693      5876.33         0.23
l1694      5876.60         0.30
l1695      5876.88         0.27
l1696      5877.14         0.24
l1697      5877.33         0.13
l1698      5877.56         0.34
l1699      5877.85         0.25
l1700      5878.02         0.09
l1701      5878.17         0.19
l1702      5878.34         0.17
l1703      5878.56         0.26
l1704      5878.91         0.44
l1705      5879.39         0.27
l1706      5879.60         0.15
l1707      5879.79         0.24
l1708      5880.04         0.26
l1709      5880.30         0.26
l1710      5880.49         0.12
l1711      5880.72         0.35
l1712      5880.98         0.17
l1713      5881.27         0.41
l1714      5881.62         0.27
l1715      5881.91         0.31
l1716      5898.47         0.32
l1717      5899.06         0.21
l1718      5899.32         0.31
l1719      5899.61         0.28
l1720      5900.17         0.17
l1721      5900.38         0.27
l1722      5900.67         0.30
l1723      5900.96         0.28
l1724      5901.42         0.34
l1725      5901.79         0.39
l1726      5902.12         0.28
l1727      5902.44         0.36
l1728      5902.72         0.20
l1729      5902.93         0.22
l1730      5903.12         0.15
l1731      5903.37         0.29
l1732      5903.62         0.22
l1733      5903.88         0.30
l1734      5904.16         0.26
l1735      5904.43         0.28
l1736      5904.87         0.60
l1737      5905.29         0.24
l1738      5905.58         0.33
l1739      5906.50         0.29
l1740      5906.76         0.23
l1741      5907.00         0.25
l1742      5907.26         0.26
l1743      5907.58         0.16
l1744      5907.74         0.16
l1745      5907.94         0.25
l1746      5908.13         0.12
l1747      5908.28         0.18
l1748      5908.48         0.21
l1749      5908.66         0.15
l1750      5908.80         0.15
l1751      5909.63         0.16
l1752      5909.79         0.17
l1753      5910.04         0.32
l1754      5910.29         0.17
l1755      5910.56         0.21
l1756      5910.87         0.20
l1757      5911.08         0.23
l1758      5911.44         0.17
l1759      5911.63         0.23
l1760      5911.83         0.15
l1761      5911.97         0.15
l1762      5912.18         0.27
l1763      5912.38         0.11
l1764      5912.49         0.12
l1765      5913.13         0.21
l1766      5913.30         0.14
l1767      5913.44         0.14
l1768      5913.67         0.32
l1769      5913.95         0.24
l1770      5914.18         0.22
l1771      5914.98         0.33
l1772      5915.29         0.30
l1773      5915.66         0.34
l1774      5916.00         0.33
l1775      5916.25         0.19
l1776      5916.39         0.08
l1777      5916.48         0.10
l1778      5916.71         0.36
l1779      5917.06         0.33
l1780      5917.45         0.48
l1781      5917.84         0.31
l1782      5918.06         0.12
l1783      5918.21         0.17
l1784      5918.59         0.27
l1785      5919.35         0.43
l1786      5919.90         0.41
l1787      5920.23         0.26
l1788      5920.43         0.14
l1789      5920.62         0.23
l1790      5920.97         0.43
l1791      5921.29         0.20
l1792      5921.49         0.19
l1793      5921.66         0.16
l1794      5921.82         0.16
l1795      5922.06         0.32
l1796      5922.29         0.13
l1797      5922.46         0.21
l1798      5923.35         0.21
l1799      5923.54         0.17
l1800      5923.69         0.13
l1801      5923.85         0.20
l1802      5924.02         0.13
l1803      5924.27         0.24
l1804      5924.66         0.40
l1805      5925.19         0.36
l1806      5925.45         0.16
l1807      5925.59         0.12
l1808      5925.76         0.23
l1809      5925.99         0.22
l1810      5926.21         0.21
l1811      5926.44         0.25
l1812      5926.68         0.24
l1813      5927.06         0.04
l1814      5927.52         0.17
l1815      5928.08         0.11
l1816      5928.89         0.28
l1817      5929.10         0.15
l1818      5929.37         0.15
l1819      5929.87         0.23
l1820      5930.17         0.39
l1821      5930.45         0.16
l1822      5930.67         0.17
l1823      5930.95         0.38
l1824      5931.23         0.18
l1825      5931.51         0.26
l1826      5932.22         0.42
l1827      5932.52         0.18
l1828      5932.71         0.21
l1829      5933.01         0.39
l1830      5933.29         0.21
l1831      5933.46         0.12
l1832      5933.66         0.28
l1833      5933.90         0.20
l1834      5934.40         0.19
l1835      5934.63         0.27
l1836      5934.83         0.14
l1837      5935.02         0.26
l1838      5935.23         0.16
l1839      5935.54         0.29
l1840      5936.23         0.25
l1841      5936.54         0.37
l1842      5936.83         0.23
l1843      5937.17         0.43
l1844      5937.71         0.46
l1845      5938.06         0.25
l1846      5939.20         0.26
l1847      5939.62         0.11
l1848      5939.75         0.16
l1849      5940.00         0.39
l1850      5940.56         0.39
l1851      5940.82         0.12
l1852      5940.96         0.16
l1853      5941.12         0.16
l1854      5941.35         0.30
l1855      5941.80         0.60
l1856      5942.47         0.19
l1857      5942.73         0.32
l1858      5943.30         0.43
l1859      5943.67         0.31
l1860      5943.92         0.19
l1861      5944.21         0.38
l1862      5944.48         0.17
l1863      5944.72         0.34
l1864      5944.98         0.17
l1865      5945.19         0.25
l1866      5945.38         0.14
l1867      5945.57         0.24
l1868      5945.84         0.31
l1869      5946.12         0.23
l1870      5946.31         0.17
l1871      5946.77         0.18
l1872      5947.02         0.32
l1873      5947.42         0.21
l1874      5947.58         0.13
l1875      5947.73         0.16
l1876      5947.88         0.14
l1877      5948.14         0.40
l1878      5948.43         0.18
l1879      5949.04         0.25
l1880      5949.29         0.15
l1881      5949.51         0.27
l1882      5950.08         0.45
l1883      5950.40         0.17
l1884      5950.58         0.19
l1885      5950.79         0.24
l1886      5951.08         0.35
l1887      5951.42         0.28
l1888      5951.67         0.21
l1889      5952.50         0.17
l1890      5952.75         0.28
l1891      5953.13         0.24
l1892      5953.41         0.12
l1893      5953.60         0.25
l1894      5953.86         0.20
l1895      5954.00         0.08
l1896      5954.12         0.16
l1897      5954.58         0.58
l1898      5955.17         0.23
l1899      5955.35         0.12
l1900      5955.50         0.19
l1901      5955.67         0.15
l1902      5955.83         0.17
l1903      5955.97         0.11
l1904      5956.25         0.43
l1905      5956.71         0.50
l1906      5957.09         0.27
l1907      5957.29         0.15
l1908      5957.59         0.23
l1909      5957.86         0.30
l1910      5958.92         0.22
l1911      5959.12         0.18
l1912      5959.28         0.14
l1913      5959.45         0.19
l1914      5959.64         0.20
l1915      5959.83         0.17
l1916      5960.06         0.30
l1917      5960.32         0.22
l1918      5960.55         0.24
l1919      5960.76         0.18
l1920      5960.92         0.15
l1921      5961.16         0.31
l1922      5961.41         0.19
l1923      5961.75         0.51
l1924      5962.08         0.14
l1925      5962.25         0.19
l1926      5962.63         0.22
l1927      5962.86         0.23
l1928      5963.08         0.23
l1929      5963.37         0.34
l1930      5963.63         0.19
l1931      5963.81         0.17
l1932      5964.17         0.13
l1933      5964.61         0.38
l1934      5965.09         0.42
l1935      5965.38         0.16
l1936      5965.55         0.19
l1937      5965.83         0.36
l1938      5966.10         0.19
l1939      5966.27         0.13
l1940      5966.45         0.24
l1941      5966.65         0.15
l1942      5966.80         0.16
l1943      5966.99         0.22
l1944      5967.28         0.35
l1945      5967.79         0.19
l1946      5968.04         0.29
l1947      5968.29         0.23
l1948      5968.57         0.20
l1949      5968.83         0.32
l1950      5969.29         0.25
l1951      5969.54         0.26
l1952      5969.85         0.37
l1953      5970.32         0.19
l1954      5970.49         0.16
l1955      5970.67         0.19
l1956      5970.88         0.23
l1957      5971.37         0.30
l1958      5971.63         0.23
l1959      5972.07         0.31
l1960      5972.38         0.33
l1961      5972.72         0.16
l1962      5972.94         0.28
l1963      5973.43         0.24
l1964      5973.87         0.27
l1965      5974.09         0.18
l1966      5974.23         0.09
l1967      5974.34         0.15
l1968      5974.53         0.22
l1969      5974.82         0.14
l1970      5974.98         0.18
l1971      5975.72         0.30
l1972      5976.26         0.19
l1973      5976.79         0.22
l1974      5978.33         0.20
l1975      5978.54         0.22
l1976      5978.76         0.22
l1977      5979.06         0.30
l1978      5979.26         0.15
l1979      5979.41         0.13
l1980      5979.56         0.17
l1981      5979.73         0.17
l1982      5979.96         0.31
l1983      5980.27         0.32
l1984      5980.49         0.11
l1985      5980.63         0.18
l1986      5980.86         0.27
l1987      5981.04         0.11
l1988      5981.25         0.31
l1989      5981.58         0.33
l1990      5981.82         0.10
l1991      5981.95         0.16
l1992      5982.17         0.26
l1993      5982.50         0.19
l1994      5982.75         0.19
l1995      5982.92         0.16
l1996      5983.08         0.17
l1997      5983.34         0.34
l1998      5983.57         0.12
l1999      5983.69         0.12
l2000      5983.80         0.11
l2001      5983.92         0.12
l2002      5984.09         0.22
l2003      5984.29         0.17
l2004      5985.09         0.16
l2005      5985.28         0.22
l2006      5985.48         0.21
l2007      5985.67         0.16
l2008      5985.88         0.27
l2009      5986.09         0.14
l2010      5986.29         0.25
l2011      5986.63         0.45
l2012      5986.92         0.13
l2013      5987.04         0.10
l2014      5987.14         0.10
l2015      5987.64         0.18
l2016      5987.85         0.17
l2017      5988.00         0.13
l2018      5988.14         0.14
l2019      5988.35         0.28
l2020      5988.58         0.18
l2021      5988.90         0.20
l2022      5989.13         0.24
l2023      5989.38         0.25
l2024      5989.74         0.24
l2025      5990.00         0.25
l2026      5990.21         0.18
l2027      5990.38         0.16
l2028      5990.54         0.15
l2029      5990.72         0.22
l2030      5991.02         0.38
l2031      5991.34         0.15
l2032      5991.54         0.23
l2033      5991.74         0.16
l2034      5991.92         0.19
l2035      5992.15         0.29
l2036      5992.49         0.24
l2037      5992.72         0.22
l2038      5992.89         0.12
l2039      5993.06         0.21
l2040      5993.45         0.31
l2041      5993.71         0.23
l2042      5993.94         0.22
l2043      5994.18         0.27
l2044      5994.45         0.26
l2045      5994.75         0.34
l2046      5995.19         0.25
l2047      5995.36         0.10
l2048      5995.62         0.36
l2049      5995.84         0.09
l2050      5996.03         0.28
l2051      5996.25         0.15
l2052      5996.60         0.57
l2053      5997.04         0.29
l2054      5997.47         0.12
l2055      5997.77         0.10
l2056      5997.92         0.13
l2057      5998.06         0.17
l2058      5998.29         0.27
l2059      5998.58         0.33
l2060      5998.97         0.44
l2061      5999.38         0.32
l2062      5999.70         0.28
l2063      6000.25         0.13
l2064      6000.41         0.20
l2065      6000.60         0.19
l2066      6000.78         0.15
l2067      6000.94         0.18
l2068      6001.12         0.18
l2069      6001.29         0.17
l2070      6001.62         0.48
l2071      6002.03         0.12
l2072      6002.21         0.25
l2073      6002.63         0.38
l2074      6003.04         0.31
l2075      6003.42         0.09
l2076      6003.62         0.29
l2077      6003.85         0.18
l2078      6004.00         0.11
l2079      6004.12         0.13
l2080      6004.26         0.16
l2081      6004.47         0.26
l2082      6004.72         0.24
l2083      6005.08         0.19
l2084      6005.29         0.23
l2085      6005.54         0.25
l2086      6005.74         0.16
l2087      6005.90         0.15
l2088      6006.07         0.19
l2089      6006.29         0.21
l2090      6006.45         0.11
l2091      6006.55         0.10
l2092      6006.72         0.15
l2093      6006.88         0.16
l2094      6007.10         0.28
l2095      6007.41         0.34
l2096      6007.67         0.19
l2097      6007.95         0.35
l2098      6008.27         0.29
l2099      6008.62         0.42
l2100      6009.01         0.15
l2101      6009.19         0.21
l2102      6009.46         0.12
l2103      6009.60         0.16
l2104      6009.73         0.10
l2105      6009.88         0.17
l2106      6010.43         0.19
l2107      6010.66         0.26
l2108      6011.05         0.27
l2109      6011.30         0.23
l2110      6011.60         0.10
l2111      6011.77         0.24
l2112      6011.95         0.12
l2113      6012.17         0.32
l2114      6012.65         0.28
l2115      6012.90         0.22
l2116      6013.08         0.13
l2117      6013.48         0.32
l2118      6013.73         0.17
l2119      6014.04         0.26
l2120      6014.29         0.24
l2121      6014.54         0.16
l2122      6014.99         0.15
l2123      6015.20         0.27
l2124      6015.42         0.18
l2125      6015.63         0.25
l2126      6015.97         0.42
l2127      6016.55         0.39
l2128      6016.99         0.26
l2129      6017.25         0.26
l2130      6017.63         0.49
l2131      6017.96         0.19
l2132      6018.16         0.19
l2133      6018.40         0.30
l2134      6018.65         0.20
l2135      6019.13         0.19
l2136      6019.41         0.36
l2137      6019.66         0.14
l2138      6019.91         0.35
l2139      6020.17         0.15
l2140      6020.38         0.27
l2141      6020.63         0.13
l2142      6020.79         0.21
l2143      6021.00         0.20
l2144      6021.21         0.22
l2145      6021.44         0.24
l2146      6021.77         0.42
l2147      6022.29         0.22
l2148      6022.50         0.21
l2149      6022.69         0.17
