# ratio p0 p1 p2 p3 sigma rap min max
l1231 l1292       4.8145      -0.6581      -0.7464       0.1360       0.4775       0.8823       0.3507       4.3966
l1292 l1231      -4.0598      15.2671      -9.1461       1.6995       0.4525       0.8943       0.2274       2.8517
l2659 l2812       0.9879      19.7546     -33.6187      13.8251       0.4778       0.8822       0.4152       1.3168
l2747 l2781       9.1888      -7.2744       1.7482      -0.1369       0.4808       0.8807       0.6717       2.9808
l2781 l2747      -2.5359       4.6070       4.6862      -3.1044       0.4637       0.8890       0.3355       1.4888
l2812 l2659      -3.5984       3.3261       2.3218      -0.9886       0.4863       0.8780       0.7594       2.4084
l2812 l2719       0.2183      -5.1988       9.0414      -2.6851       0.4933       0.8744       0.4599       2.0652
l2812 l2840      -2.5136       5.1703      -0.7411      -0.0819       0.4791       0.8815       0.3056       2.7781
l2840 l2812       7.6196      -8.5977       3.2659      -0.4399       0.4881       0.8770       0.3600       3.2725
l3039 l3124       0.2078     -11.1158      23.7184      -9.6998       0.4649       0.8884       0.4949       1.5213
l3080 l3124       8.9759     -55.3588     101.1306     -50.3967       0.4673       0.8873       0.3729       1.0086
l3102 l3124      -0.2082      -7.6205      22.9186     -11.1118       0.4963       0.8729       0.3540       1.3514
l3102 l3134      -3.7061       1.3381       3.3974      -1.0760       0.4454       0.8976       0.8769       2.4023
l3102 l3155      -2.8963       9.7334      -3.9693       0.4692       0.4733       0.8844       0.2643       1.8465
l3134 l3102       7.0870      -2.5643     -11.1491       6.4950       0.4601       0.8907       0.4163       1.1404
l3134 l3195      -6.5925      47.9472     -64.8184      24.5637       0.4867       0.8777       0.5270       1.3857
l3139 l3246       7.7474      -3.3346      -2.5754       1.1934       0.4855       0.8783       0.6797       2.1711
l3155 l3102       7.0772      -4.9734       1.2390      -0.1246       0.4805       0.8808       0.5416       3.7830
l3195 l3124       3.2380     -30.6196      76.3579     -45.6548       0.4655       0.8882       0.3303       0.9683
l3195 l3155      -3.4346      14.3041      -8.2658       1.5246       0.4897       0.8762       0.2467       1.7439
l3217 l3124      -0.0887      -7.5967      22.1571     -10.5225       0.4605       0.8906       0.3864       1.3621
l3246 l3139       0.9623      -7.5922      15.4836      -5.8944       0.4968       0.8726       0.4606       1.4713
l4098 l4133       0.0237     -15.1429      37.8374     -18.7298       0.4922       0.8750       0.4727       1.1567
l4129 l4133      -1.9356      -9.6581      37.5098     -21.5586       0.4560       0.8927       0.4249       1.0417
l4133 l4129       3.5837       7.4892      -8.7156       2.0076       0.4653       0.8883       0.9599       2.3535
l4302 l4396      -9.6062      18.7591      -1.2149      -3.8333       0.4936       0.8742       0.5492       1.2850
l4396 l4302      -7.2190      33.9975     -30.3053       7.5745       0.4862       0.8780       0.7782       1.8207
